node_1	node_2	r_bg	r_new	X13_22N_H_N_2_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_483	OTU_9373	0.600218941340831	0.600239605648698	2.06643078670687e-05	0.000742928602963225	0.999407228792446	0.999999993941542	gained	FALSE	FALSE
OTU_2001	OTU_9390	0.617402435073898	0.627484151001327	0.0100817159274296	0.374715793373031	0.707871845279508	0.999999993941542	gained	FALSE	FALSE
OTU_2609	OTU_9390	0.634839064912226	0.640533113690386	0.00569404877815938	0.219376297252891	0.82635693238745	0.999999993941542	gained	FALSE	FALSE
OTU_3220	OTU_9390	0.701742345911794	0.709006265097821	0.00726391918602654	0.32916483756818	0.742031098876626	0.999999993941542	gained	FALSE	FALSE
OTU_3387	OTU_9390	0.710174959927359	0.717244973993282	0.00707001406592289	0.328073888388214	0.74285579638605	0.999999993941542	gained	FALSE	FALSE
OTU_4363	OTU_9390	0.672899282641727	0.678139846801829	0.00524056416010243	0.220269612065937	0.82566118502951	0.999999993941542	gained	FALSE	FALSE
OTU_580	OTU_9390	0.625336706286882	0.577027086745831	-0.0483096195410511	-1.82463904098632	0.0680555178540819	0.486438089626136	lost	FALSE	FALSE
OTU_7051	OTU_9390	0.645668615774025	0.651704398757738	0.00603578298371255	0.238072616297941	0.811824773206671	0.999999993941542	gained	FALSE	FALSE
OTU_712	OTU_9390	0.650966443397676	0.61667972925898	-0.0342867141386954	-1.3685109407257	0.171152199753791	0.788879366784095	lost	FALSE	FALSE
OTU_136	OTU_94	0.603059283660124	0.569180757720663	-0.0338785259394611	-1.22455165389147	0.220744193049036	0.879198135479911	lost	FALSE	FALSE
OTU_1441	OTU_94	0.60148655503148	0.603770536274537	0.00228398124305662	0.0823102828147079	0.934399977664999	0.999999993941542	gained	FALSE	FALSE
OTU_152	OTU_94	0.637074531870293	0.634040507610476	-0.00303402425981703	-0.117452154353181	0.906501756832351	0.999999993941542	lost	FALSE	FALSE
OTU_181	OTU_94	0.658272790377438	0.665564762117236	0.00729197173979779	0.295962902521303	0.767258412354656	0.999999993941542	gained	FALSE	FALSE
OTU_682	OTU_94	0.622684025360907	0.544829529177218	-0.077854496183689	-2.92463976994179	0.00344855173164189	0.0638534134424957	lost	FALSE	FALSE
OTU_1760	OTU_940	0.668826362986724	0.622561404613322	-0.0462649583734025	-1.92536513105493	0.054183694662971	0.42487929038601	lost	FALSE	FALSE
OTU_2424	OTU_942	0.628124679490214	0.590614681734176	-0.0375099977560389	-1.42491794972711	0.154180920349313	0.751533218724925	lost	FALSE	FALSE
OTU_4713	OTU_942	0.649763437732824	0.606210732468672	-0.0435527052641518	-1.73364358275291	0.082981342442387	0.544444357296548	lost	FALSE	FALSE
OTU_1555	OTU_943	0.672902189695124	0.549334496390114	-0.12356769330501	-5.19379243107501	2.06052869523254e-07	2.14625680267958e-05	lost	FALSE	FALSE
OTU_5609	OTU_943	0.611996273086669	0.47755415453819	-0.134442118548479	-4.94382686267531	7.66037420112726e-07	6.6700059710517e-05	lost	FALSE	FALSE
OTU_151	OTU_945	0.622887311097916	0.609381417971818	-0.0135058931260982	-0.507564962157986	0.611758467788656	0.999999993941542	lost	FALSE	FALSE
OTU_2228	OTU_945	0.643263889279836	0.634101477018483	-0.00916241226135284	-0.359487074710901	0.719230745374379	0.999999993941542	lost	FALSE	FALSE
OTU_521	OTU_945	0.632291174397382	0.640725650768161	0.00843447637077888	0.323209617821366	0.746536497521102	0.999999993941542	gained	FALSE	FALSE
OTU_63	OTU_945	0.60268116670345	0.619073117063563	0.0163919503601128	0.592068807293189	0.553804513600533	0.999999993941542	gained	FALSE	FALSE
OTU_275	OTU_948	0.631438996501448	0.640103296926859	0.00866430042541078	0.331421835165829	0.740325873909312	0.999999993941542	gained	FALSE	FALSE
OTU_660	OTU_948	0.725692539139533	0.663728718645049	-0.0619638204944848	-3.01068266228099	0.00260661114014286	0.0517452175920257	lost	FALSE	FALSE
OTU_1519	OTU_95	0.610087066246283	0.594890354912646	-0.0151967113336361	-0.556750284067623	0.577698055814499	0.999999993941542	lost	FALSE	FALSE
OTU_1809	OTU_95	0.619788287624374	0.52451960520672	-0.0952686824176546	-3.55790419455133	0.000373825601920794	0.0114101541983915	lost	FALSE	FALSE
OTU_2200	OTU_95	0.62857471634121	0.62184496232895	-0.00672975401225984	-0.255886794731431	0.798038251523739	0.999999993941542	lost	FALSE	FALSE
OTU_1213	OTU_9505	0.622637088007627	0.614259835419906	-0.00837725258772126	-0.314665285634822	0.753015804304682	0.999999993941542	lost	FALSE	FALSE
OTU_3940	OTU_9505	0.662147473826121	0.667731263708958	0.00558378988283748	0.228696848028724	0.819104544782461	0.999999993941542	gained	FALSE	FALSE
OTU_4365	OTU_9505	0.741943203994211	0.745998579613465	0.00405537561925307	0.207495952836915	0.835622553067037	0.999999993941542	gained	FALSE	FALSE
OTU_1090	OTU_952	0.68194836519272	0.686791305826532	0.00484294063381174	0.208222036659645	0.835055602899482	0.999999993941542	gained	FALSE	FALSE
OTU_1191	OTU_952	0.692286876545943	0.603851276961482	-0.088435599584461	-3.90602443252633	9.38270292033542e-05	0.00374874723515381	lost	FALSE	FALSE
OTU_1320	OTU_952	0.650752034084869	0.587174864987123	-0.0635771690977461	-2.53637401789663	0.0112007035712004	0.150269155189717	lost	FALSE	FALSE
OTU_135	OTU_952	0.611110979285065	0.605471560939926	-0.00563941834513893	-0.207019382763153	0.83599472113188	0.999999993941542	lost	FALSE	FALSE
OTU_14772	OTU_952	0.645652475843514	0.583949736183392	-0.0617027396601216	-2.43368717455777	0.0149459057920792	0.183809757498565	lost	FALSE	FALSE
OTU_1549	OTU_952	0.746282812746663	0.695259559831037	-0.0510232529156261	-2.6486923139524	0.00808038607022928	0.119037161813871	lost	FALSE	FALSE
OTU_2134	OTU_952	0.635795718165814	0.534141284592591	-0.101654433573223	-3.92446126047902	8.6924045281405e-05	0.00352107416477409	lost	FALSE	FALSE
OTU_27	OTU_952	0.674105304834676	0.552414370998554	-0.121690933836122	-5.13010195226198	2.89585293708805e-07	2.8885722100688e-05	lost	FALSE	FALSE
OTU_2715	OTU_952	0.618172933968247	0.539349305217276	-0.0788236287509706	-2.93421962325038	0.00334387508705916	0.0624072756428541	lost	FALSE	FALSE
OTU_279	OTU_952	0.67516072275642	0.59779829482821	-0.0773624279282098	-3.2698882446401	0.00107589980952331	0.0262676761350974	lost	FALSE	FALSE
OTU_33	OTU_952	0.68174505885646	0.605153304781064	-0.0765917540753964	-3.29135355352114	0.000997065154274971	0.0247612149237593	lost	FALSE	FALSE
OTU_37	OTU_952	0.73197750175085	0.706016157685123	-0.0259613440657269	-1.28629775518736	0.198339165636171	0.841586200737717	lost	FALSE	FALSE
OTU_3833	OTU_952	0.648160553003599	0.605651244216253	-0.0425093087873465	-1.68603984713834	0.0917881246713207	0.575563727513568	lost	FALSE	FALSE
OTU_538	OTU_952	0.781060173550134	0.706145532116173	-0.0749146414339614	-4.41866604159414	9.93119668179628e-06	0.000585514658614098	lost	FALSE	FALSE
OTU_59	OTU_952	0.651164097352788	0.586509206410196	-0.0646548909425916	-2.58177152157326	0.0098294635727081	0.136941958108898	lost	FALSE	FALSE
OTU_6158	OTU_952	0.657692442698779	0.648403447847023	-0.00928899485175661	-0.376509651331512	0.706538041748926	0.999999993941542	lost	FALSE	FALSE
OTU_6297	OTU_952	0.611947915918903	0.545005260007351	-0.0669426559115529	-2.46144280878443	0.0138379457902132	0.17422222236597	lost	FALSE	FALSE
OTU_710	OTU_952	0.699682914511526	0.666060377636484	-0.0336225368750422	-1.51499208948767	0.129774407414085	0.691118960055113	lost	FALSE	FALSE
OTU_87	OTU_952	0.656106601169265	0.54607523850658	-0.110031362662685	-4.44357177730795	8.84776203261237e-06	0.000530962198662149	lost	FALSE	FALSE
OTU_10	OTU_953	0.660224175822376	0.66970997773668	0.00948580191430459	0.386761004112213	0.698933149020994	0.999999993941542	gained	FALSE	FALSE
OTU_1144	OTU_953	0.740236491446954	0.745226836795446	0.00499034534849141	0.253905450901058	0.799568603554493	0.999999993941542	gained	FALSE	FALSE
OTU_193	OTU_953	0.690932597712843	0.698425022328393	0.00749242461554989	0.329739306039067	0.741596951299348	0.999999993941542	gained	FALSE	FALSE
OTU_212	OTU_953	0.61308893404717	0.627328561557346	0.014239627510176	0.524755503372477	0.599753167716442	0.999999993941542	gained	FALSE	FALSE
OTU_465	OTU_953	0.62841868575705	0.634436724693114	0.00601803893606423	0.228750939089624	0.819062500631613	0.999999993941542	gained	FALSE	FALSE
OTU_645	OTU_953	0.630243189499263	0.642027499934034	0.011784310434771	0.449638441800239	0.652971164738677	0.999999993941542	gained	FALSE	FALSE
OTU_7	OTU_953	0.60280995052508	0.615444091086199	0.0126341405611182	0.456449935996776	0.648066463897253	0.999999993941542	gained	FALSE	FALSE
OTU_1037	OTU_957	0.615036291936487	0.615712416440076	0.000676124503588227	0.025012231335315	0.980045207466681	0.999999993941542	gained	FALSE	FALSE
OTU_4499	OTU_957	0.600707059458634	0.559120126536907	-0.0415869329217276	-1.49651555614394	0.134519357177417	0.703650908734547	lost	FALSE	FALSE
OTU_55	OTU_957	0.719612789930392	0.717987748514043	-0.00162504141634945	-0.0775181508183425	0.938211352454422	0.999999993941542	lost	FALSE	FALSE
OTU_436	OTU_96	0.69177259695276	0.666191522498292	-0.025581074454468	-1.128322853283	0.259183595395796	0.933669368280694	lost	FALSE	FALSE
OTU_757	OTU_96	0.604564346172505	0.493337003177732	-0.111227342994773	-4.03186922197656	5.53349779878294e-05	0.00243223793319666	lost	FALSE	FALSE
OTU_108	OTU_959	0.697232926109597	0.696845770378969	-0.000387155730626976	-0.0173285983673023	0.986174470828229	0.999999993941542	lost	FALSE	FALSE
