	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_1107	0	0.204216684646234	0.220183795129561	0	0.254629624158501	0.271944333766584	0	0	0.0926945227543694	0.351922688901714	0.0777466504730028	0.549138252080096	0	0.113291572269791	0	0.0994008347371157
OTU_109	0	0.072144829329018	0.351307387377799	0	0.262867590189429	0.0921669021965273	0.423106256004119	0.0803702945281987	1.41609266127868	0.517792552337338	0.880355396200072	0.0717317385637275	0.214904257824377	0	0	0
OTU_13	0.28637990573588	0.269597114438465	0.583613911756413	0	0	0	0.805760853092712	0.396848162349291	1.65645719956972	0.737620456185935	0.32216989532924	0.0817859393171746	0.0803152058517743	0	0.0975242848977184	0.476432916648502
OTU_1222	0	0.238418232691865	0	0	0	0.128456738773796	0	0	0	0	0	0	0	0	0	0
OTU_1058	0	0	0	0	0.113320816637027	0.145202569706079	0	0	0	0.125693353718627	0	0	0.239153080267079	0.116157997802574	0	0
OTU_1109	0	0	0.0753379656663435	0.204934828594267	0	0.0742051341662675	0	0.208736177488982	0.1662261588267	0.187744339128435	0	0	0	0.61820969897233	0.15941780058384	0.483155160154101
OTU_1406	0.109102382212521	0.260057165494485	0	0.0885474720783374	0	0.167356749924153	0	0.120582261273128	0.168798364348358	0.673056490473589	0.348555834946419	0	0.0697196011177645	0.490391496408426	0.597691787970102	0.272193415555837
OTU_1011	0	0	0	0	0.0866956435727165	0	0	0	0	0	0.692497640876309	0	0	0	0	0
OTU_1006	0	0.386539939683722	0	0	0	0	0	0.100222695737388	0.342124562095784	0.25644437835856	0.210235856469021	0	0	0	0.195760837028357	0.287478056248709
OTU_112	0.408230035214842	1.88744156868089	0.882793155373435	0.303561937984648	0	0.258103386646617	0.351598990548263	0.337748247872012	0.653082264225027	1.19105254959533	0.6272814942582	0	0	0.0950612890370003	0.252468385994995	0.203453796777543
OTU_1238	0	0.192253265104698	0.410717490576116	0.10698502826486	0	0.101550618704133	0.281064401448554	0.261187684112746	0.662884642864326	0.498122317282766	0.390455736219391	0	0.123535900396303	0	0.356566615475959	0.189343158702455
OTU_145	0.634092154806005	1.41315604689236	0.550884431440633	0.134297458923581	0	0.220021979080718	1.01357061768121	0.494347358888577	4.911916687103	1.11354190486578	1.25533540527083	0	0.211989701980163	0.195522052385968	1.85000699623319	0.610009679821714
OTU_143	0	0.0888604183804651	0	0	0	0	0	0.172694342198586	0	0	0	0	0.172468580461338	0	0	0
OTU_1221	0.0841474955498789	0	0	0	0	0	0	0	0	0	0	0	0.0817332406998077	0	0	0
