node1	node2	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_1165	OTU_136	0	0	0	0	0	-0.158406635241866	0	0	-0.0858389459405285	-0.135267661888984	0	0	0	0	0.0869030848723287	0
OTU_1046	OTU_1360	-0.0821972704679627	0	0	0	-0.0849335496228852	0	0	0	0	0	0	-0.111824377265248	0	0	0	0
OTU_108	OTU_1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1134	OTU_1362	0	0	0	0	-0.150677990441409	-0.0978550597149855	0	0	0	0	0	-0.114293700935059	-0.134410696521927	0	0	0
OTU_1225	OTU_1362	0	0	0	-0.115246661517542	0	0	0	-0.0986120002674985	0	0	0	-0.0859543414865462	0	0	0	0
OTU_1291	OTU_1362	0	0	-0.120617531731786	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_104	OTU_1368	-0.115431491613175	0	-0.324478244272639	-0.156538055611273	0	0	-0.141808383794386	0	0	0.118418607228592	0	0	0	-0.110428201366042	-0.1571113642133	0
OTU_1174	OTU_1369	0	-0.0736782952226472	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1336	OTU_1370	0	0	0	0	0	0	0	0	0	0	0.0619370381902301	0	0	0	0	0
OTU_1306	OTU_1373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1321	OTU_1372	0	0	0	-0.104430531754521	0	0	0	0	0	-0.152069245338037	0	0	0	0	0	0
OTU_1102	OTU_1377	0	0	0	0	0	0	0	-0.11506299626974	0	0	0	0	0	0	0	0
OTU_1069	OTU_1374	-0.1273779160131	0	0	0	-0.116025032599483	-0.0949552550363068	0	0	0	-0.0764593772324362	0	0	0	0	0	0
OTU_1162	OTU_1374	0	-0.0714520796140434	0	0	-0.121023273903565	-0.105585360927486	0	0	0	0	0	-0.0896239529973519	0	0	0	-0.10357469693642
OTU_126	OTU_1384	-0.221358400452525	-0.125097598286845	-0.131753833566039	0	0	-0.154839970844859	-0.330786146621846	0	-0.39222473563517	-0.180102606757155	-0.424205027768484	0	0	-0.181882105162188	0	0
OTU_1285	OTU_1384	0	0	0	0	0	-0.111264442867129	0	-0.119173081496708	0	0	0	0	0	-0.137525428309572	0	0
OTU_110	OTU_1385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_123	OTU_1385	0	0	0	0	0	0	-0.0901936014009356	0	0	0	0	0	0	0	-0.0765603307074801	0
OTU_1251	OTU_1385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.110341608362031
OTU_1294	OTU_1385	0	0	0	0	0	0	0	0	0	0	-0.164430366632841	0	0	0	0	0
OTU_133	OTU_1385	0	0	0	0	0	0	-0.141234093644699	0	0	0	0.0665013011651997	0	0	0	-0.128718630814745	0
OTU_1342	OTU_1385	0	-0.152443382855254	0	0	0	-0.150401739812335	0	0	0	-0.0999258649708553	-0.163174764910421	0	0	0	0	-0.184807403437954
OTU_1348	OTU_1375	0	0	0	0	0	0	0	0	0	0	0	0	-0.0942091554077078	0	0	0
OTU_1289	OTU_1387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
