node_1	node_2	r_bg	r_new	X13_18S_H_C_0_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_323	OTU_925	0.638660380490595	0.613247110864262	-0.0254132696263324	-0.987151577427784	0.323568336000624	0.858972131613651	lost	FALSE	FALSE
OTU_858	OTU_925	0.643093234894855	0.642116918459514	-0.00097631643534124	-0.0382914179493033	0.969455333254144	0.999999973033941	lost	FALSE	FALSE
OTU_130	OTU_924	0.621663617367726	0.696392739978706	0.0747291226109797	2.80142396086131	0.00508776296194238	0.0473967752027607	gained	FALSE	FALSE
OTU_137	OTU_924	0.714142843777186	0.696626402801952	-0.0175164409752342	-0.822200292886089	0.410962912111932	0.950071439731474	lost	FALSE	FALSE
OTU_2655	OTU_924	0.622193060911097	0.6258403904424	0.00364732953130287	0.136876965790844	0.891128046086935	0.999999973033941	gained	FALSE	FALSE
OTU_2890	OTU_924	0.600215476683783	0.594983797677386	-0.00523167900639676	-0.188089469616185	0.850806515804121	0.999999973033941	lost	FALSE	FALSE
OTU_2969	OTU_924	0.600825403425738	0.458758655212397	-0.142066748213341	-5.11344293222632	3.16339355333172e-07	1.18177974248333e-05	lost	FALSE	FALSE
OTU_1	OTU_928	0.814038163055097	0.811060870781223	-0.00297729227387422	-0.202992064056127	0.839141235051825	0.999999973033941	lost	FALSE	FALSE
OTU_1116	OTU_928	0.646432851025123	0.624003790266551	-0.0224290607585723	-0.886182141789624	0.375519385205675	0.916860443665807	lost	FALSE	FALSE
OTU_13031	OTU_928	0.614455660428774	0.617802830599278	0.00334717017050323	0.123681622875162	0.90156736274693	0.999999973033941	gained	FALSE	FALSE
OTU_1335	OTU_928	0.719773013768313	0.726280512366023	0.0065074985977106	0.31057095197991	0.756126812821207	0.999999973033941	gained	FALSE	FALSE
OTU_179	OTU_928	0.781812871907367	0.730836707691274	-0.0509761642160936	-3.01580857220349	0.00256295009661675	0.0272772122434439	lost	FALSE	FALSE
OTU_1906	OTU_928	0.701783845132648	0.704573146013605	0.00278930088095719	0.12641180634727	0.899405957010205	0.999999973033941	gained	FALSE	FALSE
OTU_2291	OTU_928	0.823827574790018	0.827817158467447	0.00398958367742863	0.285583889312592	0.775196844247085	0.999999973033941	gained	FALSE	FALSE
OTU_2715	OTU_928	0.720079931414874	0.675431196032532	-0.0446487353823423	-2.13282063478984	0.0329394428493061	0.200174708412413	lost	FALSE	FALSE
OTU_295	OTU_928	0.77096482941567	0.754840943010426	-0.0161238864052442	-0.914293120249481	0.360562844620877	0.901370507575506	lost	FALSE	FALSE
OTU_3171	OTU_928	0.724049902665918	0.729181239210848	0.00513133654493037	0.248072116179839	0.804078609466142	0.999999973033941	gained	FALSE	FALSE
OTU_33	OTU_928	0.699813260540044	0.682256176438946	-0.0175570841010971	-0.791384443406049	0.428719685156257	0.965213569954644	lost	FALSE	FALSE
OTU_3330	OTU_928	0.631558018554204	0.620163051273	-0.0113949672812039	-0.435982730813167	0.662849259100148	0.999999973033941	lost	FALSE	FALSE
OTU_352	OTU_928	0.752597518424861	0.759167591110377	0.00657007268551535	0.348507209202701	0.727459300624951	0.999999973033941	gained	FALSE	FALSE
OTU_39	OTU_928	0.811179896974845	0.816018794808112	0.0048388978332663	0.325435157761327	0.744851750337908	0.999999973033941	gained	FALSE	FALSE
