"","X09_10S_H_C_1","X09_11S_N_C_0","X09_12S_N_C_2","X09_13S_N_C_0","X09_14S_N_C_2","X09_15S_H_C_0","X09_16S_H_C_1","X09_17S_N_C_2","X09_18S_H_C_0","X09_19S_N_C_1","X09_1S_H_C_1","X09_20S_H_C_1","X09_21S_H_C_2","X09_22S_H_C_2","X09_23S_N_C_1","X09_24S_N_C_0","X09_2S_H_C_0","X09_3S_N_C_1","X09_4S_H_C_2","X09_5S_H_C_0","X09_6S_N_C_1","X09_7S_H_C_2","X09_8S_N_C_0","X09_9S_N_C_2","X13_12N_N_N_2","X13_18S_H_C_0","X13_22N_H_N_2","X13_23N_N_N_1","X13_3N_N_N_1","X13_4S_H_C_2","X13_6N_N_N_1","X13_8N_N_N_0","X14_15N_H_N_0","X14_16S_H_C_1","X14_1N_H_N_1","X14_23S_N_C_1","X14_3N_N_N_1","X14_3S_N_C_1","X14_4N_H_N_2","X14_4S_H_C_2"
"OTU_32",14,18,8,1,7,0,0,6,9,18,3,6,16,0,3,40,9,0,0,1,47,2,16,0,3,0,1,2,0,1,2,2,0,1,47,0,2,0,0,0
"OTU_34",11,61,2,7,19,12,8,13,11,0,13,16,8,3,0,6,16,4,2,4,29,3,12,57,10,1,0,7,15,7,19,1,4,0,0,3,3,23,0,11
"OTU_35",83,29,269,3,1,17,2,8,70,0,2,12,9,0,2,71,1,24,38,22,1,27,0,12,12,0,11,0,19,2,7,0,1,0,0,0,0,11,0,0
"OTU_39",13,18,30,58,61,16,2,17,8,83,6,39,51,103,31,93,12,6,9,5,39,9,24,97,14,25,5,2,13,42,18,21,8,33,2,6,38,12,17,16
"OTU_44",122,12,204,980,41,131,32,42,8,92,4,7,27,4,6,6,2,185,1,21,63,12,2,272,7,0,2,1,2,4,0,0,1,0,0,2,2,7,0,0
"OTU_46",1,0,16,17,2,0,15,9,4,0,1,3,19,0,10,3,0,2,1,1,4,0,2,0,163,79,24,0,0,27,1,1,3,0,0,3,5,9,11,191
"OTU_48",17,3,7,1,13,69,0,35,3,0,0,0,5,0,0,7,2,1,0,96,1,10,0,10,17,3,0,2,9,6,1,4,0,269,3,0,1,13,8,83
"OTU_50",2,0,0,0,0,0,2,3,0,0,0,0,0,1,1,1,19,0,0,0,0,0,14,3,20,1,14,2,2,14,12,0,0,0,1,0,0,4,14,6
"OTU_51",392,2,2,0,5,0,0,19,11,15,2,2,0,0,7,6,219,0,7,10,8,22,1,0,5,83,78,0,0,428,0,4,586,39,0,0,0,0,0,23
"OTU_57",13,4,27,0,3,9,2,8,2,1,0,5,0,0,1,15,2,11,2,7,16,1,0,22,2,4,0,25,9,11,0,2,94,5,2,683,3,42,169,822
"OTU_58",8,8,48,51,12,15,8,6,16,40,11,47,22,25,22,2,1,5,60,2,5,5,16,28,176,47,3,0,27,7,523,2,0,0,0,2,5,144,0,5
"OTU_59",31,15,15,70,14,4,4,152,70,2,4,0,11,5,110,134,155,6,9,24,26,9,78,3,1,0,2,1,1,0,1,0,0,2,0,0,0,3,0,0
"OTU_60",3,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,2,4,13,4,2,1,2,5,3,0,0,3,0,1,4,2,1,1
"OTU_65",36,12,15,2,0,16,65,23,2,0,2,3,1,0,0,6,2,13,7,5,14,6,4,10,14,11,8,4,37,63,23,24,39,3,5,0,9,49,9,5
"OTU_66",130,6,311,8,3,712,0,11,0,1,2,15,43,0,0,3,0,5,9,6,17,2,0,0,7,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"OTU_71",1,5,19,19,0,14,1,4,2,7,0,0,7,1,0,0,0,4,0,1,2,0,4,10,40,5,7,0,5,17,1,0,0,0,0,0,19,12,4,20
"OTU_72",6,4,3,3,4,5,14,8,17,6,1,10,8,1,0,10,2,1,2,5,2,25,4,7,7,15,14,22,1,4,0,7,5,1,6,2,22,1,0,0
"OTU_73",32,7,20,6,2,4,7,18,5,17,0,1,4,2,8,4,3,1,1,0,8,3,4,41,4,696,11,2,26,25,3,2,5,11,10,0,4,9,9,25
"OTU_74",6,13,20,10,1,6,0,4,6,0,2,1,1,1,0,1,3,4,2,0,1,0,10,6,51,8,5,0,20,94,38,7,24,267,0,1,36,22,19,57
"OTU_76",10,6,9,1243,61,15,0,1,2,309,0,7,3,0,0,0,0,2,3,2,3,4,0,3,6,2,1,0,1,5,0,0,0,0,0,0,4,0,0,0
