"name","Degree","Local_Clustering_Coefficient","Betweenness_Centrality","Closeness_Centrality","Eigenvector_Centrality","PageRank","K_core","Zi","Pi","type"
"OTU_1528",1,0,0,1.22988003300547,9.04725827760278e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_153",4,0.166666666666667,261,0.000388546808904302,0.00818788982213407,0.00102323366940598,3,-1.09544511501033,0.625,"Connectors"
"OTU_1530",2,0,13446,0.000327945821609213,9.20937968367993e-05,0.000884159127955841,2,-0.768570894265581,0.5,"Peripherals"
"OTU_1531",1,0,0,1.21806848671844,6.90469652745566e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1536",1,0,0,1.22802297263,0,0.00123001230012231,1,0,0,"Peripherals"
"OTU_1538",7,0.571428571428571,472,0.000432085372388642,0.164075788676943,0.00136642637482213,5,-0.320154113420007,0.244897959183674,"Peripherals"
"OTU_1543",1,0,0,0.405124197595407,8.71090902850964e-18,0.000941775611581931,1,-0.577350269189626,0,"Peripherals"
"OTU_1549",1,0,0,0.0192303420076966,8.37392839870431e-18,0.000548878149209487,1,-0.960189875679424,0,"Peripherals"
"OTU_1553",14,0.340659340659341,430,0.000422377797498969,0.576427234513875,0.0021384199942136,7,0.260269171341445,0.408163265306122,"Peripherals"
"OTU_1560",1,0,0,0.000261511198837282,9.90272303864475e-05,0.000611579768991483,1,-0.931588505112178,0,"Peripherals"
"OTU_1564",1,0,0,1.2303474076154,6.92706402023695e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1566",1,0,0,0.000349965442454296,0.00703684046571154,0.000362346941078139,1,-0.909902758503789,0,"Peripherals"
"OTU_157",1,0,0,1.21138594078957,6.52397520390537e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1579",4,0.666666666666667,3,0.000366800903251492,0.0590491175651643,0.00085750981170086,4,-0.267679818898603,0.375,"Peripherals"
"OTU_158",2,0,73,0.000302242522659228,3.55146980709142e-05,0.000776398299071468,2,-0.501017615821025,0,"Peripherals"
"OTU_1580",1,0,0,1.22101870206998,4.62425101072051e-18,0.00123001230012231,1,0,0,"Peripherals"
